frame.number	eth.dst	eth.src	eth.type	ip.version	ip.hdr_len	ip.dsfield.dscp	ip.dsfield.ecn	ip.len	ip.id	ip.flags.rb	ip.flags.df	ip.flags.mf	ip.frag_offset	ip.ttl	ip.proto	ip.checksum	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.hdr_len	tcp.flags.res	tcp.flags.ns	tcp.flags.cwr	tcp.flags.ecn	tcp.flags.urg	tcp.flags.ack	tcp.flags.push	tcp.flags.reset	tcp.flags.syn	tcp.flags.fin	tcp.window_size_value	tcp.checksum	tcp.urgent_pointer	tcp.options	tcp.payload	udp.srcport	udp.dstport	udp.length	udp.checksum	eth.padding
1	00:1b:d4:1b:a4:d8	00:13:c3:df:ae:18	0x00008100	4	20	0	0	100	0x0000000f	0	0	0	0	255	1	0x0000929b	10.118.10.1	10.118.10.2																							
2	00:13:c3:df:ae:18	00:1b:d4:1b:a4:d8	0x00008100	4	20	0	0	100	0x0000000f	0	0	0	0	255	1	0x0000929b	10.118.10.2	10.118.10.1																							
3	00:1b:d4:1b:a4:d8	00:13:c3:df:ae:18	0x00008100	4	20	0	0	100	0x00000010	0	0	0	0	255	1	0x0000929a	10.118.10.1	10.118.10.2																							
4	00:13:c3:df:ae:18	00:1b:d4:1b:a4:d8	0x00008100	4	20	0	0	100	0x00000010	0	0	0	0	255	1	0x0000929a	10.118.10.2	10.118.10.1																							
5	00:1b:d4:1b:a4:d8	00:13:c3:df:ae:18	0x00008100	4	20	0	0	100	0x00000011	0	0	0	0	255	1	0x00009299	10.118.10.1	10.118.10.2																							
6	00:13:c3:df:ae:18	00:1b:d4:1b:a4:d8	0x00008100	4	20	0	0	100	0x00000011	0	0	0	0	255	1	0x00009299	10.118.10.2	10.118.10.1																							
7	00:1b:d4:1b:a4:d8	00:13:c3:df:ae:18	0x00008100	4	20	0	0	100	0x00000012	0	0	0	0	255	1	0x00009298	10.118.10.1	10.118.10.2																							
8	00:13:c3:df:ae:18	00:1b:d4:1b:a4:d8	0x00008100	4	20	0	0	100	0x00000012	0	0	0	0	255	1	0x00009298	10.118.10.2	10.118.10.1																							
9	00:1b:d4:1b:a4:d8	00:13:c3:df:ae:18	0x00008100	4	20	0	0	100	0x00000013	0	0	0	0	255	1	0x00009297	10.118.10.1	10.118.10.2																							
10	00:13:c3:df:ae:18	00:1b:d4:1b:a4:d8	0x00008100	4	20	0	0	100	0x00000013	0	0	0	0	255	1	0x00009297	10.118.10.2	10.118.10.1																							
11	00:21:55:c8:f1:3c	00:19:aa:7d:e6:88	0x00008100	4	20	0	0	100	0x0000000f	0	0	0	0	255	1	0x00007de1	10.209.20.3	10.209.20.4																							
12	00:19:aa:7d:e6:88	00:21:55:c8:f1:3c	0x00008100	4	20	0	0	100	0x0000000f	0	0	0	0	255	1	0x00007de1	10.209.20.4	10.209.20.3																							
13	00:21:55:c8:f1:3c	00:19:aa:7d:e6:88	0x00008100	4	20	0	0	100	0x00000010	0	0	0	0	255	1	0x00007de0	10.209.20.3	10.209.20.4																							
14	00:19:aa:7d:e6:88	00:21:55:c8:f1:3c	0x00008100	4	20	0	0	100	0x00000010	0	0	0	0	255	1	0x00007de0	10.209.20.4	10.209.20.3																							
15	00:21:55:c8:f1:3c	00:19:aa:7d:e6:88	0x00008100	4	20	0	0	100	0x00000011	0	0	0	0	255	1	0x00007ddf	10.209.20.3	10.209.20.4																							
16	00:19:aa:7d:e6:88	00:21:55:c8:f1:3c	0x00008100	4	20	0	0	100	0x00000011	0	0	0	0	255	1	0x00007ddf	10.209.20.4	10.209.20.3																							
17	00:21:55:c8:f1:3c	00:19:aa:7d:e6:88	0x00008100	4	20	0	0	100	0x00000012	0	0	0	0	255	1	0x00007dde	10.209.20.3	10.209.20.4																							
18	00:19:aa:7d:e6:88	00:21:55:c8:f1:3c	0x00008100	4	20	0	0	100	0x00000012	0	0	0	0	255	1	0x00007dde	10.209.20.4	10.209.20.3																							
19	00:21:55:c8:f1:3c	00:19:aa:7d:e6:88	0x00008100	4	20	0	0	100	0x00000013	0	0	0	0	255	1	0x00007ddd	10.209.20.3	10.209.20.4																							
20	00:19:aa:7d:e6:88	00:21:55:c8:f1:3c	0x00008100	4	20	0	0	100	0x00000013	0	0	0	0	255	1	0x00007ddd	10.209.20.4	10.209.20.3																							
21	01:00:0c:cd:cd:d0	00:13:c3:df:ae:18	0x00008100																																						
22	01:00:0c:cd:cd:d0	00:19:aa:7d:e6:88	0x00008100																																						
23	01:00:0c:cc:cc:cc	00:0f:34:5f:16:8d																																							
24	01:00:0c:cc:cc:cc	00:13:c4:12:0f:0d																																							
25	01:00:0c:cd:cd:d0	00:1b:d4:1b:a4:d8	0x00008100																																						
26	01:00:0c:cd:cd:d0	00:21:55:c8:f1:3c	0x00008100																																						
