frame.number	eth.dst	eth.src	eth.type	ip.version	ip.hdr_len	ip.dsfield.dscp	ip.dsfield.ecn	ip.len	ip.id	ip.flags.rb	ip.flags.df	ip.flags.mf	ip.frag_offset	ip.ttl	ip.proto	ip.checksum	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.hdr_len	tcp.flags.res	tcp.flags.ns	tcp.flags.cwr	tcp.flags.ecn	tcp.flags.urg	tcp.flags.ack	tcp.flags.push	tcp.flags.reset	tcp.flags.syn	tcp.flags.fin	tcp.window_size_value	tcp.checksum	tcp.urgent_pointer	tcp.options	tcp.payload	udp.srcport	udp.dstport	udp.length	udp.checksum	eth.padding
1	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	68	0x0000aa19	0	0	0	0	128	17	0x000011d2	172.31.19.54	172.31.19.73																			15916	161	48	0x00000ca5	
2	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	86	0x00001a1b	0	0	0	0	64	17	0x0000e1be	172.31.19.73	172.31.19.54																			161	15916	66	0x00007d6d	
3	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	82	0x0000aa1a	0	0	0	0	128	17	0x000011c3	172.31.19.54	172.31.19.73																			15917	161	62	0x00008d4d	
4	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	101	0x00001a1c	0	0	0	0	64	17	0x0000e1ae	172.31.19.73	172.31.19.54																			161	15917	81	0x00009e9b	
5	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	70	0x0000aa1b	0	0	0	0	128	17	0x000011ce	172.31.19.54	172.31.19.73																			15918	161	50	0x00000492	
6	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	76	0x00001a1d	0	0	0	0	64	17	0x0000e1c6	172.31.19.73	172.31.19.54																			161	15918	56	0x0000d999	
7	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	126	0x0000aa1c	0	0	0	0	128	17	0x00001195	172.31.19.54	172.31.19.73																			15919	161	106	0x0000f506	
8	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	151	0x00001a1e	0	0	0	0	64	17	0x0000e17a	172.31.19.73	172.31.19.54																			161	15919	131	0x0000f6a0	
9	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	72	0x0000aa1d	0	0	0	0	128	17	0x000011ca	172.31.19.54	172.31.19.73																			15920	161	52	0x0000fa4e	
10	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	73	0x00001a1f	0	0	0	0	64	17	0x0000e1c7	172.31.19.73	172.31.19.54																			161	15920	53	0x0000f946	
11	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	78	0x0000aa1e	0	0	0	0	128	17	0x000011c3	172.31.19.54	172.31.19.73																			15921	161	58	0x0000df70	
12	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	79	0x00001a20	0	0	0	0	64	17	0x0000e1c0	172.31.19.73	172.31.19.54																			161	15921	59	0x0000e068	
13	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	68	0x0000aa1f	0	0	0	0	128	17	0x000011cc	172.31.19.54	172.31.19.73																			15922	161	48	0x00000c99	
14	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	86	0x00001a21	0	0	0	0	64	17	0x0000e1b8	172.31.19.73	172.31.19.54																			161	15922	66	0x00007d61	
15	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	82	0x0000aa20	0	0	0	0	128	17	0x000011bd	172.31.19.54	172.31.19.73																			15923	161	62	0x00008d41	
16	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	101	0x00001a22	0	0	0	0	64	17	0x0000e1a8	172.31.19.73	172.31.19.54																			161	15923	81	0x00009e8f	
17	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	70	0x0000aa21	0	0	0	0	128	17	0x000011c8	172.31.19.54	172.31.19.73																			15924	161	50	0x00000486	
18	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	76	0x00001a23	0	0	0	0	64	17	0x0000e1c0	172.31.19.73	172.31.19.54																			161	15924	56	0x0000d98d	
19	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	126	0x0000aa22	0	0	0	0	128	17	0x0000118f	172.31.19.54	172.31.19.73																			15925	161	106	0x0000f4fa	
20	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	151	0x00001a24	0	0	0	0	64	17	0x0000e174	172.31.19.73	172.31.19.54																			161	15925	131	0x0000f694	
21	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	72	0x0000aa23	0	0	0	0	128	17	0x000011c4	172.31.19.54	172.31.19.73																			15926	161	52	0x0000fa42	
22	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	73	0x00001a25	0	0	0	0	64	17	0x0000e1c1	172.31.19.73	172.31.19.54																			161	15926	53	0x0000f93a	
23	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	78	0x0000aa24	0	0	0	0	128	17	0x000011bd	172.31.19.54	172.31.19.73																			15927	161	58	0x0000df64	
24	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	79	0x00001a26	0	0	0	0	64	17	0x0000e1ba	172.31.19.73	172.31.19.54																			161	15927	59	0x0000e05c	
25	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	68	0x0000aa25	0	0	0	0	128	17	0x000011c6	172.31.19.54	172.31.19.73																			15928	161	48	0x00000c8d	
26	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	86	0x00001a29	0	0	0	0	64	17	0x0000e1b0	172.31.19.73	172.31.19.54																			161	15928	66	0x00007d55	
27	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	82	0x0000aa26	0	0	0	0	128	17	0x000011b7	172.31.19.54	172.31.19.73																			15929	161	62	0x00008d35	
28	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	101	0x00001a2a	0	0	0	0	64	17	0x0000e1a0	172.31.19.73	172.31.19.54																			161	15929	81	0x00009e83	
29	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	70	0x0000aa27	0	0	0	0	128	17	0x000011c2	172.31.19.54	172.31.19.73																			15930	161	50	0x0000047a	
30	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	76	0x00001a2b	0	0	0	0	64	17	0x0000e1b8	172.31.19.73	172.31.19.54																			161	15930	56	0x0000d981	
31	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	126	0x0000aa28	0	0	0	0	128	17	0x00001189	172.31.19.54	172.31.19.73																			15931	161	106	0x0000f4ee	
