frame.number	eth.dst	eth.src	eth.type	ip.version	ip.hdr_len	ip.dsfield.dscp	ip.dsfield.ecn	ip.len	ip.id	ip.flags.rb	ip.flags.df	ip.flags.mf	ip.frag_offset	ip.ttl	ip.proto	ip.checksum	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.hdr_len	tcp.flags.res	tcp.flags.ns	tcp.flags.cwr	tcp.flags.ecn	tcp.flags.urg	tcp.flags.ack	tcp.flags.push	tcp.flags.reset	tcp.flags.syn	tcp.flags.fin	tcp.window_size_value	tcp.checksum	tcp.urgent_pointer	tcp.options	tcp.payload	udp.srcport	udp.dstport	udp.length	udp.checksum	eth.padding
1	d0:7a:b5:96:cd:0a	00:14:0b:33:33:27	0x00000800	4	20	0	0	95	0x00003116	0	0	0	0	128	17	0x00008777	192.168.1.101	178.123.13.120																			42559	26895	75	0x00006a54	
2	00:14:0b:33:33:27	d0:7a:b5:96:cd:0a	0x00000800	4	20	0	0	1440	0x00009a17	0	0	0	0	47	6	0x000072ac	208.117.231.17	192.168.1.101	443	56561	20	0	0	0	0	0	1	0	0	0	0	31488	0x0000e962	0		016975438972e84361e1dd6c7184432907335729da52084c6a09c4ebd557848019b9d205ac6ff6f77bfab289450ed5d0bece310c5ed6c4d8690001b2e85f5f489f6e1a1cc7fbfcfa713dca916088ff6bfe8330d637e8d63bda8dad824ba89d530cf28f0f71774298885913b74685507b97e994672d120a6f25aa975e3f12e6c0ff835581a7fcc487e670141d4a840e10fab05b1f7bdad149ba089758970a9a6f9838e0f454ab51cf362e10240f4693f0dfea247376f6739c5163aba922e1dac7a55e8a97c7d38a70e771c9ef9b571eeea5af512f30d926f63dc09a6c599e64c03cf8d180876a0e270de0948d1f84f2f3a1e8deb8cfbc5a2729445a56318ea3255dddcd0c962d4db4b3e6768c154260ab4a8f7c17b277a69e4c70345c14adca71a42b7c0be612cbd58e24238960b02cebf7b69b4acd0f739736e374f4883fad1c6549697ed120a218f92896e4fdcdb088640c7f7a215736959371cfbc79f60820df34e3813d9c7b85d6db328a16a9a23962fc45e7f096568a1343a4a2dbb10767a77fa5d8b2bb4d25786a8fd3f9dd12852fae38c0cad22b19c2f0b67415c69d17d4a0e42e21341f37a22e6adeacb452c919759436e4cc11529308051a6473d475c1f897c3053d9c2b05c25e186038faaca83c855573d77cd311b057f4acfe3e6b495a24c610a69f5372782f6f3a7779474b8145213949c812fb2563b26409de2fedbda71984f81db82f3dbf71cd1f314aea79ffc72edd1e8200a99489de1c6cd1c26a939b055e89de55203b027d171d1acb33f7528d14a87d91a9a4870bf97ccce3f0288eef5d1d2666e45996e7ac31ed3c92054028cac57385119bfa05edb9c15deaf25ef6747fb4143ea46fbd5c67201de693292bf42ed38a01400abc650426a1a416f90af82cdd916e4480527a9229e51b6e1e780b9ba459fd13e6463c4807f2d1a2d900e5f757c432ecb7754f2d32bddc9e321d828cb6d1dafaa2703add2ea1a1a8c23b86b3326b52bc39524687fd73219e550894691edc741377627192e9ff7f2714869db77620f0b5d5ebab7820d50176234f0a1da191fedc3b304e8e86e147dfe5d7861b8a368a3769282b5c39ab645ee7f08cd9c54d1695387ee44e84d8109df2cb5e9e8258264f8e60473cdb9692ca3e1efc5316634d79232506426ac98108e3c65721d20a12ce05b51fc638b35a34cdc55ba4463a6b762c4f44d2eb01ded765875d9e8ab10072a0eeeebdb38726e50d9c3fc174c9f94c4539f31deae1fae19f53711a9c19230ff7040b1fcf5fa3bb131003ae54dfd71dafb330e6c2805d16cd75ca6eef4afc923677ed6add8d361170df3915ded8f501d880c5646ae4c6a0d838f85cdb0ca80999072eb15198ff5f606710ebf6cd69eb30222f6462f80492f863a2fa09f274fe9fa87f25d090e4760102acf220a694c41dc23db64f13edd72f692ce17e34818959d43f7ed86458bc200f49c0eb985abeae9472035a4f0c57ec180eb00bbd0fc02c57aaaaa715ee2d54fcfe1e2b5d7bc44ac57624612f547fe512b67d9dde8ccfdd4cd068acccb225b40735dca88e6918f391b5ef3ad5bcd26a45d69641efbcfa75ccab6dd4c7881860366ce292f0fb93abc6b03c1a38d24aefe4285f834da06497fa78ff185fadb448446adbfba8d68bb15d97ed6c88a9b9e1b51cc0786d77043b377ca35c304eed34e732de0a5fc9e96f45a68ce8aabc044be4d7acd1038a0e1669b721581a60f95356065d7351885508f15ce728d42188f57fad5cb472dfbbdb1a99b677a48d13968940e74f182aa101c179ce326f23886485b95fbcaf40f63dc8d48c67f3e0d3a5fa614737f4169a2994eb2d9cf42fe562fd5ecde2b2fb92c80da8b7660ebc5fbcd2ea8608fbdc0c1e196e2aaf0e1ec53e4d90d60e9a8481b7c78e9069e55ccc8c063d60a3ac9457acd2caf58a980dc4411a0e6a9b7fb31f11e044ffdbb56f21f8f14ad31e					
3	d0:7a:b5:96:cd:0a	00:14:0b:33:33:27	0x00000800	4	20	0	0	52	0x00003117	0	1	0	0	128	6	0x00005018	192.168.1.101	208.117.231.17	56562	443	32	0	0	0	0	0	1	0	0	0	0	64400	0x0000a930	0	0101050a72d16f9a72d18002						
4	00:14:0b:33:33:27	d0:7a:b5:96:cd:0a	0x00000800	4	20	0	0	1440	0x00009a18	0	0	0	0	47	6	0x000072ab	208.117.231.17	192.168.1.101	443	56562	20	0	0	0	0	0	1	0	0	0	0	31529	0x00001745	0		605a7050423556227add3d9f736f9a1e91b0b71edcdb921b34e1608c1e0964b3639a1bbe90f11e3ec28ae484deb91e4df32624e91d92c9e42859115e46d19513eba0e593853f75e5b1f435f2e9847533de117a17a8a7505ee3b20c679917b151a931346bd0aa1fe3af4a72b76cdf302b099f93a493c49c1dac0c906e81f13518b9e8166c0dda3a953dc02b85bc4e483c9386936ccae6f66bcb926c71fcd19595779d5e08ccfa883aabfc66def293da1543319dd75bc31c697a246bef1a7b375fa2eb651e3218ec5d779eada16283d927363b5a49ceaee7857254ca020ed8043d767b8c45a688776104e84f16873f1495f3ff520110af3c2cf8b53a3a5ad0f0e05cda5012b9600839cebcdbe67264bc9eee854bf754c5d5b8976c6093b775fdb6815ab4837a750a45036a72210e1b0d58d3955714f5ee5c1fea2ad73bb04761e1bc46231f69a422be094f840fa876911d9ed88669945d63887d4df51b65e57c16ea8952c7fa7d1c43b808df0ee7dd78131518e048f2ccbdb18163e69074c2ff215a408c04989f8742092d6a7e46cc79d1a4553905582c6a33b528f44127cf00004f9735930c5374a194d8c919d924a203d07fe6a30ae2ff38eb7a5ca096adb91b52baa1fb336193c1c986c4472793e3859b781fe660488a1eefb7ab917916e7480e7032a565e4860d2dba4acd510a8d784ff65518765f85db465e41dd9ee4f7cadd857d92df44f2975f34d244e56feead785b505bcd2ac6928929e9641cd793b8c61b61092c78bd3e453b054b561530f176f5b17e79ac2e3ccbdfe91fd549fd45cca831bcab2e79378ec5345469b51356f5f473b428a3caa8b526ba9849d4c284fcf4ffd2c504f4ab48b24cf3cc74127ea012c0838fb6b992dabef1780b68a180905720ccf67895a654a2bb554ba767506d9b17facc19ad47b5b8eb462e367d350cfc850a03315e5a707d9658bc7e80d3d54caf2cd281fc68356704156d25661d937d82df2f0c907d40cc7d6a4a9469321277a986cab08a3c2195f7287503e4e917ba29ae4e1444b3bc150403af0aa818e8a7f625778ee3aec837c76cee54c8a613bd84465be3a80aa30107e757a78f72ca83d4e31778fc46264af9e767ebd76ef99148ef7dd388de22d3f1cc836aca3fad9a8d044442acd7335b41d4f4ca35e92f8435352da7ebf3fcf80699f9090c3d84ed244cee9bb4f3a4d381d1500991a7044bdbafc3f8d4aa6b1094d0d93bbc42426fe9a6cca8874a4d2f9ab207a7572e4fa682395c1ff7ac3736c0736a7c91931aa2b83d08dc6fd146c028e0c3c446a07cc54f63d135af9a9e8f747a7fc08ecf5d572fd5fdf97e965cb4d4ac1c87e5e36a0bfe4978881c45084dbb1059618b39fbf7773cbadd6adc5086f1cee629aba5a43c8f4f2dc590f01ecedb1f0c0571d2a9886afeafdda7b0a0876b6e5cff926b301525f7418e4f87a183d9724403a8697deb449ac15a8cd5854a529c8f30cdad0db2ca660632c4a93cd90319c908ce06203a59ccc4fab10a734ff208e3597a17a3e3a8a976e4caffc00e778a291d59c4b98470627e1c2bf4ca12c049c46f3678bdf9ed7059eda20d9df45296fd609562bf736bb8e82ad2539d1a153dde83fe0795fe7dc8fb315cf170a3444464b5eb2807642dedb32ad7b606bb6a4fdd0ebc4261721b37426330ee989eea4b0e2a5027de6a990f5c9dad91b498fb237d11ade02472c00ccf0766859bcd3b1286f4e2208dcdfa8310ab464815778754fbcda848a569e6dbe898c70aae7d6d9607067a2ed309daa1d07f07755b0300f200d7bf4617d498dd487d745e22fa011bc184b132fc40e528c24d033bdfaa2dde1fc9f498038e4d228f5833024ce0982ba1fc6ed43a3be1afa80d0f6dfa40488af23f369511ed6712ee8525793d3ff0227acca11b1ec6deabefd4c942f83533b2307bae9072107b5678fd5c3a3eceb3b8d429b40094d69806b6371486					
5	d0:7a:b5:96:cd:0a	00:14:0b:33:33:27	0x00000800	4	20	0	0	40	0x00003118	0	1	0	0	128	6	0x00005023	192.168.1.101	208.117.231.17	56561	443	20	0	0	0	0	0	1	0	0	0	0	64400	0x00003d6f	0							
6	00:14:0b:33:33:27	d0:7a:b5:96:cd:0a	0x00000800	4	20	0	0	1440	0x00009a19	0	0	0	0	47	6	0x000072aa	208.117.231.17	192.168.1.101	443	56563	20	0	0	0	0	0	1	1	0	0	0	31529	0x0000f7a2	0		5b29309c2e7082dce97a71cbf132d2431ac08a1d17d36115450a6b1ceab44ec8c769c263a94ab456a0caf438de16c604cca96db8b8e89fc0ba82d9c4b3154a57fefa84343dc2bf5b0ad1dac449cfbebc6cce7f8b5a118034701b27c24624fe01fed06f85f393094cc0aad32bbe4f83d012c550007bf86348d3f842edb61be714674a722bfe5d389488d89fee66a1ae29c54e1a68fd5f71f3fa930cb16d4756d0792159d4f18f02294baeda3786e268c000b89adf4d805084feb8730c5cb2d12fe6e0e8e7917cf1e1ccd3766bba01cbad470f5330da99b6083e2076e443b89566338d9df512c371ad0205549afe46a7d2632c2b9405e3c1d2ee643ecf5a7b96511fa66ad34da95635632f19144fb78533f613bc9ecb97c093d5d052d69aac2e38e137d8a57e4f9fe886ee41a936495c92ebc5604d716aca13ba706e2c8440a523137da9612cf7c4cb798905162ec5a77cb86ec86e587a95e1645d1246f834516e04871cb3797034a17ab589a8b735135e0e568d30124be21c4cef00a6476ed3ae0e4c9ca58573c3779e9a7cb4d3df7ae363714e2608af20bf8cff1b28783ec38cff3f168885e0a8f97fcb2caeb4ca9ed141a917a1de7fcfe4d61477854343b6de31b89bbd64824381019e3e97fc8c0776bdfbf84ca7aaabd7b8756dbd3835389e6a0900f98f6d327c12e5b630838105775534e028921e871698651ab1486e10ca139dc62995dd7552a7293658d6b0f52ca4f89602891091dba449229df2a2dd374a06fa6eb1fca452ad4c0bfb007cb0e675ecc8a8c1f9c9e3d97dcbea4f9c5b3fcb6d8e4cfd5fb950b4ed711d7e260cabfd5b56eac10e7128178205f17056b4649c1169f44cbf881829041417efe6b82dbe613d94c509a790b1002f696464d62913e46cd9a0c6adf65d324b238caceeb581c07187acfaf5ce99397de5b178e92c9beeccc8e0d13490ebb57142de7208d2e115c63eecf52dc3f25ad8390a379719d52f21c15575fb77fd0a5d194d9ffab59acd28fb10accb172b008c5247e0b0bfedeb76d1cb9781cec7bc3905392b1097e78faa28810241f6188f40b0cce408e42aafd4327dec9f37fd678626d577fb769ff4aea362add68ace7ae8d6cf2b5466a5d491527f08ad133f602386160182668856a5f9d79ff07b9b1caaf0e9d7bb2e1f133e6bdc950fca584148bb4190c3769c8098f7afe10296a16cf6709950dd1b956aa121391c0a50f65c9bc91ae63fdb29d59d1176f6d0bbad1fc6462ecc70fa95ea3a7403bd4fc953890e4d022edc71716e798b7a9d4104825fc464e0b87f4e33997656f3139c1826008264a16df1814e0c098f56b5cd3256b5c03989988d53eeca4ee803587093d011c0a54091b58a4ca0d7372446e1aef43bc63e58c7163a5c3cb93a1a352f006a80e9a13a6cc9cc5780632928cc7450a229f1fef093bef7720562a93981f41f904d802e8fd4f90495751b88b6584a101efbf46bbe5b333cb6790cb9c3a50ce864a8fc46a4a9fc953be396fecf8186cc0298acaa15f2ad8f81fad89be012cfa723f3b556023fce225c761c218e2bdad64cff9f7dc5c2e5ca0b884950de353209083d3f70024623ad26bc66d4ce7bf02044794da78210b5bcd0dfa3236075b1ed16cac4c94b19b15f8661e05992f431480ee063e14430c474e2784234353f8c705743da0cbe6f470576c9b80a9024ed14707b8c77b1ce0e07d1b268c9a086d78fffcf8de898971957063fd3bf7d3c1c561d7bced55aee1df892f78bb1643fa0166d2a66cbb8dfdd7526444c3b173ee605dedac209396ae216fe99a23d3f0d8b8d24ea0cac17d08fe7233a5575ba371bcf00a1a8dd219417fe8ba08c0879189e5a3083b9705c1dec439f2b36dc12540fa91bb18a43d7a0dd645b79ff6e49ce7f8718d515217ef3ee9d2fc1969576f22c26cc7fd4ad833874b905d7b8d7669da3f2d6f63f675b62e1633349c876449bef96					
7	00:14:0b:33:33:27	d0:7a:b5:96:cd:0a	0x00000800	4	20	0	0	98	0x00002aef	0	0	0	0	100	17	0x0000a99b	178.123.13.120	192.168.1.101																			26895	42559	78	0x0000c00f	
8	d0:7a:b5:96:cd:0a	00:14:0b:33:33:27	0x00000800	4	20	0	0	40	0x00003119	0	1	0	0	128	6	0x00005022	192.168.1.101	208.117.231.17	56562	443	20	0	0	0	0	0	1	0	0	0	0	64400	0x00009ea7	0							
9	00:14:0b:33:33:27	d0:7a:b5:96:cd:0a	0x00000800	4	20	0	0	1440	0x00009a1a	0	0	0	0	47	6	0x000072a9	208.117.231.17	192.168.1.101	443	56562	20	0	0	0	0	0	1	0	0	0	0	31529	0x0000b58f	0		b4e18cdd37963e7503c5f3560cde015c5293594852cf64a0f72bb2345915c89a2028a0aef6e68e215090b818c6898a43e079eff44e37ad06b03b62302b1702d2a81aba8a94d95e609e3c6151cece1bd884900a34a16025d30d2eddd204b24e657559252eb7cfaf9e24ec67c8bbaf0296327054b641197263db617215649a447bc3c9383c9638969b67ad0523b00c6b0d87bbedf1b8ee69943abc1b3b03adb0a7be430bee3f7eb06b916fd3d9798f7c5857015bc09fe91fbee032eebeab61b73c095144e5abd9ef27244fa183be98b08a5da73f45da6cbea6a7daf255179dc3fbba977a9790c3bc56d9c0e41bfcd78d56bcc78a38120b0ccc3a4a89f043ac5b1b2fdf277d20ebfc662f92a418af9b57ab1902bb93ad1304d4652c206830cca191b755f1e2130b36e1617c7fb429543e51fbc43b9c59f60d8e85280e0951dfd7fa7d84ec3deb708d7f42ec19865cf4845f7a5b5a884ab274bc4a4e789882ec4c2e3e6aca9a00cdd8c164488d60f99f789f2dc56881c45b420b7f7dfacadba475cd9de853bee73807d907174807cd7edcd1f00712845d6e2bb5e8b8dc567ba1b6d8927981bdc8b77bb28c252904512e81ff5ed87612b0c5fd05bb9615d197bab61cf9b5d8ebe1b11b8a973fea25a0e9522eeed0a36a9b5783b3a4c24ca4f8540e90b02a7c110e4020608288b933be2160dc3ee13def9c27db11d33b1d4fc230f6ff71e01f4e8f8067fbaa0b6342bbf91c3c7b3cdcc5c700d2164ea719af7c2d340f53dff52115044bff3e6968b3db611a8e40f84bfd0e0b243c10113b74ccba9607558714f85472408c5bb8e154cd951f356790764f9e1abaebd8277cebc076ff8cdf0b5418d215ee4e1ca331dbc122d98e7c1487b2bef11787c499f61acbf2dc275a7e92a9af63bc7d07b058d046cb77df0f36432eebfd090fc0d9abc3950cadebef6f66ce3f617966eb8ac7fe6ad615678ee47e1ff925db3dcd114d618d16134f4ab11d3efc644cf24b6b226e65e0ef8e4c2b9d7f858d664388892eec629b36c53e69bbf3578530d8c99809dd1bb00c5d6238f0990170565cbf3a60ba7611e514d3cb9cd6c359c2b5412298e60d326403babf94d03b1915c6e5b3cfb86baa07606cb21668c77c82abfc80f287329791837a288094e2827b9aa297f2942db9c364c1c225631ef55d1d7725a227c482cb174e201537ee5f94777b8822d48f8f91e86878f2e69e581914590c26aedeb2bb674d7187fdf1b6c49a845e38f2e0104fcd5aeb0c4eae45cb51058253b7a5c39dd50b60e09ea9476b02f768503a3eab4c804f4674015a792938842d543936f57a40122c60adae42810dfcc5a263fcc410ee057e9015d124d6edadd99c2ce7d231a8b6e5e739742ad5d9aad51f2eb4a4a55fe40e988f4002941d4ed6f737289b65ef917f7385c16d80fa7844849e4af13f4b46884d18334e6d54d5adf54f4e59ab85072fb271bae5285fb4406fdb02876da0eca1c7ec60937787a0cc7e3e842771a7dd497c361f872ed040af7f11e51237ff15e1706b77460049ddecaf86bc0370320fcf50c45eaa7659c8a2ecf1c3204a92ebad2c115e8d79c54b86f805a058dde2b1118019fc634c7706592a81ae699a4de6d95b2241815e84ea10232ef3fa7c9598ad2117cbb57609222940ea11e527a5990062baa38984ef50092708116df6a3c13d84ff758638e4fbe5ca083f9f8397fcd11ca16db8d629a3b6655747d74c97a4e95a8bca2afd8ca89a58eebe76d7ac6281ccbf5de26780c248bf1313b456587b8094b5ecc77d2129bc3e20f9186dbc33bb1d60052177923b0265a665ace5cd5932e3d528ec320e85cb5c2aaea52a5cf1538939e7810c107c3fa2cdbe89f3faaf52d5528cac44935db7d0aedafddce7171eada7adf9d365b9746bb145d30ee24191e778f7aef50dd2714ec43216fa53fa6cabfd702d3c8378a6c8eadd04b7637af4cc33cb1bee22					
10	d0:7a:b5:96:cd:0a	00:14:0b:33:33:27	0x00000800	4	20	0	0	40	0x0000311a	0	1	0	0	128	6	0x00005021	192.168.1.101	208.117.231.17	56563	443	20	0	0	0	0	0	1	0	0	0	0	64400	0x0000effb	0							
