frame.number	eth.dst	eth.src	eth.type	ip.version	ip.hdr_len	ip.dsfield.dscp	ip.dsfield.ecn	ip.len	ip.id	ip.flags.rb	ip.flags.df	ip.flags.mf	ip.frag_offset	ip.ttl	ip.proto	ip.checksum	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.hdr_len	tcp.flags.res	tcp.flags.ns	tcp.flags.cwr	tcp.flags.ecn	tcp.flags.urg	tcp.flags.ack	tcp.flags.push	tcp.flags.reset	tcp.flags.syn	tcp.flags.fin	tcp.window_size_value	tcp.checksum	tcp.urgent_pointer	tcp.options	tcp.payload	udp.srcport	udp.dstport	udp.length	udp.checksum	eth.padding
1	80:fb:06:f0:45:d7	e0:a1:d7:18:c2:72	0x00000800	4	20	45	0	104	0x0000619f	0	1	0	0	64	17	0x000073f7	10.251.23.139	62.39.3.142																			59194	514	84	0x0000685a	
2	e0:a1:d7:30:42:41	80:fb:06:f0:45:d7	0x00000806																																						e98800ac5018200049b80000aaaa0000003c
3	24:95:04:05:b2:21	80:fb:06:f0:45:d7	0x00000806																																						003b00aaffffe92024b907deaaaa0000003c
4	64:7c:34:00:e0:9d	80:fb:06:f0:45:d7	0x00000806																																						5e0800acc46e52c52cb352c52cb30000003c
5	30:7e:cb:8e:45:29	80:fb:06:f0:45:d7	0x00000806																																						000000010f7f00000000000000000000003c
6	c0:ac:54:29:64:29	80:fb:06:f0:45:d7	0x00000806																																						e9880096000000006300000000000000003c
7	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	46	0x00005ca2	0	0	0	0	64	17	0x00005de3	95.136.242.99	109.6.1.72																			1701	1701	26	0x00000000	
8	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	48	0x000069d0	0	0	0	0	250	17	0x000096b2	109.6.1.72	95.136.242.99																			1701	1701	28	0x00000000	
9	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	45	0	48	0x00000000	0	1	0	0	64	17	0x000079cf	95.136.242.99	109.6.1.72																			1701	1701	28	0x00000000	
10	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	48	0	40	0x0000002f	0	0	0	0	250	17	0x0000ff9b	109.6.1.72	95.136.242.99																			1701	1701	20	0x00001fcf	
11	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	48	0	52	0x000021ce	0	0	0	0	250	17	0x0000ddf0	109.6.1.72	95.136.242.99																			1701	1701	32	0x00000000	
12	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	50	0x00005ca3	0	0	0	0	64	17	0x00005dde	95.136.242.99	109.6.1.72																			1701	1701	30	0x00000000	
13	80:fb:06:f0:45:d7	e0:a1:d7:18:c2:72	0x00000806																																						
14	e0:a1:d7:18:c2:72	80:fb:06:f0:45:d7	0x00000806																																						002e0afbc40852c52bba52c5aaaa0000003c
15	00:25:15:ae:ba:81	80:fb:06:f0:45:d7	0x00000806																																						00000000000000000000000000000000003c
16	30:7e:cb:81:98:61	80:fb:06:f0:45:d7	0x00000806																																						00000001bbae00000000000000000000003c
17	30:7e:cb:66:65:b1	80:fb:06:f0:45:d7	0x00000806																																						e931525f000000000000000000000000003c
18	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	55	0x00007304	0	1	0	0	63	17	0x0000c7b1	95.136.242.99	109.0.66.20																			65388	53	35	0x000054d4	
19	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	55	0x00007305	0	1	0	0	63	17	0x0000c7b0	95.136.242.99	109.0.66.20																			65388	53	35	0x00009595	
20	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	116	0x00000000	0	1	0	0	59	17	0x00003e79	109.0.66.20	95.136.242.99																			53	65388	96	0x00006c7e	
21	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	71	0x00000000	0	1	0	0	57	17	0x000040a6	109.0.66.20	95.136.242.99																			53	65388	51	0x000080db	
22	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	65	0x00007306	0	1	0	0	63	17	0x0000c7a5	95.136.242.99	109.0.66.20																			65389	53	45	0x000098d6	
23	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	65	0x00007307	0	1	0	0	63	17	0x0000c7a4	95.136.242.99	109.0.66.20																			65389	53	45	0x0000f065	
24	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	81	0x00000000	0	1	0	0	59	17	0x00003e9c	109.0.66.20	95.136.242.99																			53	65389	61	0x00005bbd	
25	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	137	0x00000000	0	1	0	0	59	17	0x00003e64	109.0.66.20	95.136.242.99																			53	65389	117	0x0000093e	
26	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	60	0x000091ca	0	1	0	0	63	6	0x0000a0ba	95.136.242.99	109.0.74.75	65386	443	40	0	0	0	0	0	0	0	0	1	0	29200	0x0000310f	0	020405ac0402080a000eff480000000001030307						
27	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	60	0x00000000	0	1	0	0	58	6	0x00003785	109.0.74.75	95.136.242.99	443	65386	40	0	0	0	0	0	1	0	0	1	0	5792	0x0000873c	0	020405640402080a0b504604000eff4801030307						
28	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	52	0x000091cb	0	1	0	0	63	6	0x0000a0c1	95.136.242.99	109.0.74.75	65386	443	32	0	0	0	0	0	1	0	0	0	0	229	0x0000cb69	0	0101080a000eff520b504604						
29	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	237	0x000091cc	0	1	0	0	63	6	0x0000a007	95.136.242.99	109.0.74.75	65386	443	32	0	0	0	0	0	1	1	0	0	0	229	0x0000836d	0	0101080a000eff520b504604	16030100b4010000b0030152c52cefc74bcad62493b02b05c416a9ec66fcb1ba2b2d00e67e75db07f63f4300004800ffc00ac0140088008700390038c00fc00500840035c009c007c013c0110045004400330032c00ec00cc004c00200960041002f00050004c008c01200160013c00dc003feff000a0100003f000000180016000013686f7473706f742e776966692e7366722e6672000a00080006001700180019000b000201000023000033740000000500050100000000					
