frame.number	eth.dst	eth.src	eth.type	ip.version	ip.hdr_len	ip.dsfield.dscp	ip.dsfield.ecn	ip.len	ip.id	ip.flags.rb	ip.flags.df	ip.flags.mf	ip.frag_offset	ip.ttl	ip.proto	ip.checksum	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.hdr_len	tcp.flags.res	tcp.flags.ns	tcp.flags.cwr	tcp.flags.ecn	tcp.flags.urg	tcp.flags.ack	tcp.flags.push	tcp.flags.reset	tcp.flags.syn	tcp.flags.fin	tcp.window_size_value	tcp.checksum	tcp.urgent_pointer	tcp.options	tcp.payload	udp.srcport	udp.dstport	udp.length	udp.checksum	eth.padding
1	ff:ff:ff:ff:ff:ff	00:05:9a:3c:78:00	0x00000806																																						
2	00:05:9a:3c:78:00	00:0d:88:40:df:1d	0x00000806																																						
3	00:0d:88:40:df:1d	00:05:9a:3c:78:00	0x00000800	4	20	0	0	48	0x0000da83	0	1	0	0	128	6	0x00000745	131.212.31.167	128.119.245.12	2096	80	28	0	0	0	0	0	0	0	0	1	0	65535	0x0000f98f	0	020404ec01010402						
4	00:05:9a:3c:78:00	00:0d:88:40:df:1d	0x00000800	4	20	0	0	48	0x00000000	0	1	0	0	52	6	0x00002dc9	128.119.245.12	131.212.31.167	80	2096	28	0	0	0	0	0	1	0	0	1	0	1460	0x00000beb	0	020405b401010402						
5	00:0d:88:40:df:1d	00:05:9a:3c:78:00	0x00000800	4	20	0	0	40	0x0000da87	0	1	0	0	128	6	0x00000749	131.212.31.167	128.119.245.12	2096	80	20	0	0	0	0	0	1	0	0	0	0	65535	0x00003e63	0							
6	00:0d:88:40:df:1d	00:05:9a:3c:78:00	0x00000800	4	20	0	0	664	0x0000da88	0	1	0	0	128	6	0x000004d8	131.212.31.167	128.119.245.12	2096	80	20	0	0	0	0	0	1	1	0	0	0	65535	0x00000a0a	0		504f5354202f657468657265616c2d6c6162732f6c6162332d312d7265706c792e68746d20485454502f312e310d0a4163636570743a20696d6167652f6769662c20696d6167652f782d786269746d61702c20696d6167652f6a7065672c20696d6167652f706a7065672c206170706c69636174696f6e2f782d73686f636b776176652d666c6173682c206170706c69636174696f6e2f766e642e6d732d657863656c2c206170706c69636174696f6e2f766e642e6d732d706f776572706f696e742c206170706c69636174696f6e2f6d73776f72642c202a2f2a0d0a526566657265723a20687474703a2f2f676169612e63732e756d6173732e6564752f657468657265616c2d6c6162732f5443502d657468657265616c2d66696c65312e68746d6c0d0a4163636570742d4c616e67756167653a20656e2d75730d0a436f6e74656e742d547970653a206d756c7469706172742f666f726d2d646174613b20626f756e646172793d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d376435333734343262303361610d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a557365722d4167656e743a204d6f7a696c6c612f342e302028636f6d70617469626c653b204d53494520362e303b2057696e646f7773204e5420352e313b205356313b202e4e455420434c5220312e312e34333232290d0a486f73743a20676169612e63732e756d6173732e6564750d0a436f6e74656e742d4c656e6774683a203135323337320d0a436f6e6e656374696f6e3a204b6565702d416c6976650d0a43616368652d436f6e74726f6c3a206e6f2d63616368650d0a0d0a					
7	00:0d:88:40:df:1d	00:05:9a:3c:78:00	0x00000800	4	20	0	0	876	0x0000da89	0	1	0	0	128	6	0x00000403	131.212.31.167	128.119.245.12	2096	80	20	0	0	0	0	0	1	0	0	0	0	65535	0x0000d8b5	0		2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d376435333734343262303361610d0a436f6e74656e742d446973706f736974696f6e3a20666f726d2d646174613b206e616d653d2266696c65223b2066696c656e616d653d22433a5c6263686f695c636c6173735c4353343431312d353635312d53707230355c4c6162735c657468657265616c5c616c6963652e747874220d0a436f6e74656e742d547970653a20746578742f706c61696e0d0a0d0a20202020202020202020202020202020414c494345275320414456454e545552455320494e20574f4e4445524c414e440d0a0d0a20202020202020202020202020202020202020202020202020204c6577697320436172726f6c6c0d0a0d0a202020202020202020202020202020544845204d494c4c454e4e49554d2046554c4352554d2045444954494f4e20332e300d0a0d0a0d0a0d0a0d0a202020202020202020202020202020202020202020202020202020204348415054455220490d0a0d0a20202020202020202020202020202020202020202020446f776e20746865205261626269742d486f6c650d0a0d0a0d0a2020416c6963652077617320626567696e6e696e6720746f206765742076657279207469726564206f662073697474696e6720627920686572207369737465720d0a6f6e207468652062616e6b2c20616e64206f6620686176696e67206e6f7468696e6720746f20646f3a20206f6e6365206f7220747769636520736865206861640d0a70656570656420696e746f2074686520626f6f6b2068657220736973746572207761732072656164696e672c2062757420697420686164206e6f0d0a7069637475726573206f7220636f6e766572736174696f6e7320696e2069742c2060616e6420776861742069732074686520757365206f66206120626f6f6b2c270d0a74686f7567687420416c6963652060776974686f7574207069637475726573206f7220636f6e766572736174696f6e3f270d0a0d0a2020536f207368652077617320636f6e7369646572696e6720696e20686572206f776e206d696e64202861732077656c6c2061732073686520636f756c642c0d0a666f722074686520686f7420646179206d61646520686572206665656c20					
8	00:05:9a:3c:78:00	00:0d:88:40:df:1d	0x00000800	4	20	0	0	40	0x0000a78d	0	1	0	0	52	6	0x00008643	128.119.245.12	131.212.31.167	80	2096	20	0	0	0	0	0	1	0	0	0	0	6864	0x00002123	0							
9	00:0d:88:40:df:1d	00:05:9a:3c:78:00	0x00000800	4	20	0	0	1300	0x0000da8b	0	1	0	0	128	6	0x00000259	131.212.31.167	128.119.245.12	2096	80	20	0	0	0	0	0	1	0	0	0	0	65535	0x00009bfb	0		7665727920736c6565707920616e6420737475706964292c20776865746865720d0a74686520706c656173757265206f66206d616b696e6720612064616973792d636861696e20776f756c6420626520776f727468207468652074726f75626c650d0a6f662067657474696e6720757020616e64207069636b696e672074686520646169736965732c207768656e2073756464656e6c7920612057686974650d0a52616262697420776974682070696e6b20657965732072616e20636c6f7365206279206865722e0d0a0d0a2020546865726520776173206e6f7468696e6720736f20564552592072656d61726b61626c6520696e20746861743b206e6f722064696420416c6963650d0a7468696e6b20697420736f2056455259206d756368206f7574206f66207468652077617920746f206865617220746865205261626269742073617920746f0d0a697473656c662c20604f6820646561722120204f68206465617221202049207368616c6c206265206c61746521272020287768656e207368652074686f756768740d0a6974206f76657220616674657277617264732c206974206f6363757272656420746f20686572207468617420736865206f7567687420746f20686176650d0a776f6e646572656420617420746869732c20627574206174207468652074696d6520697420616c6c207365656d6564207175697465206e61747572616c293b0d0a627574207768656e20746865205261626269742061637475616c6c7920544f4f4b2041205741544348204f5554204f4620495453205741495354434f41542d0d0a504f434b45542c20616e64206c6f6f6b65642061742069742c20616e64207468656e2068757272696564206f6e2c20416c696365207374617274656420746f0d0a68657220666565742c20666f7220697420666c6173686564206163726f737320686572206d696e6420746861742073686520686164206e657665720d0a6265666f7265207365656e2061207261626269742077697468206569746865722061207761697374636f61742d706f636b65742c206f72206120776174636820746f0d0a74616b65206f7574206f662069742c20616e64206275726e696e67207769746820637572696f736974792c207368652072616e206163726f7373207468650d0a6669656c642061667465722069742c20616e6420666f7274756e6174656c7920776173206a75737420696e2074696d6520746f2073656520697420706f700d0a646f776e2061206c61726765207261626269742d686f6c6520756e646572207468652068656467652e0d0a0d0a2020496e20616e6f74686572206d6f6d656e7420646f776e2077656e7420416c6963652061667465722069742c206e65766572206f6e63650d0a636f6e7369646572696e6720686f7720696e2074686520776f726c64207368652077617320746f20676574206f757420616761696e2e0d0a0d0a2020546865207261626269742d686f6c652077656e74207374726169676874206f6e206c696b6520612074756e6e656c20666f7220736f6d65207761792c0d0a616e64207468656e206469707065642073756464656e6c7920646f776e2c20736f2073756464656e6c79207468617420416c69636520686164206e6f7420610d0a6d6f6d656e7420746f207468696e6b2061626f75742073746f7070696e672068657273656c66206265666f72652073686520666f756e642068					
10	00:05:9a:3c:78:00	00:0d:88:40:df:1d	0x00000800	4	20	0	0	40	0x0000a78e	0	1	0	0	52	6	0x00008642	128.119.245.12	131.212.31.167	80	2096	20	0	0	0	0	0	1	0	0	0	0	8360	0x00001807	0							
