frame.number	eth.dst	eth.src	eth.type	ip.version	ip.hdr_len	ip.dsfield.dscp	ip.dsfield.ecn	ip.len	ip.id	ip.flags.rb	ip.flags.df	ip.flags.mf	ip.frag_offset	ip.ttl	ip.proto	ip.checksum	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.hdr_len	tcp.flags.res	tcp.flags.ns	tcp.flags.cwr	tcp.flags.ecn	tcp.flags.urg	tcp.flags.ack	tcp.flags.push	tcp.flags.reset	tcp.flags.syn	tcp.flags.fin	tcp.window_size_value	tcp.checksum	tcp.urgent_pointer	tcp.options	tcp.payload	udp.srcport	udp.dstport	udp.length	udp.checksum	eth.padding
1	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	60	0x000016a7	0	1	0	0	64	6	0x0000a2b1	192.168.0.2	192.168.0.1	1254	23	40	0	0	0	0	0	0	0	0	1	0	32120	0x00005d40	0	020405b40402080a00160a250000000001030300						
2	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	0	0	60	0x00007465	0	0	0	0	64	6	0x00008503	192.168.0.1	192.168.0.2	23	1254	40	0	0	0	0	0	1	0	0	1	0	17376	0x0000065d	0	020405a8010303000101080a00054b6300160a25						
3	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	52	0x000016a8	0	1	0	0	64	6	0x0000a2b8	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	0	0	0	0	32120	0x0000f87c	0	0101080a00160a2500054b63						
4	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	79	0x000016a9	0	1	0	0	64	6	0x0000a29c	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	1	0	0	0	32120	0x0000790a	0	0101080a00160a2700054b63	fffd03fffb18fffb1ffffb20fffb21fffb22fffb27fffd05fffb23					
5	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	55	0x0000222c	0	0	0	0	64	6	0x0000d731	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	1	0	0	0	17349	0x00000d09	0	0101080a00054b6400160a27	fffd25					
6	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	52	0x000016aa	0	1	0	0	64	6	0x0000a2b6	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	0	0	0	0	32120	0x0000f84e	0	0101080a00160a3400054b64						
7	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	55	0x000016ab	0	1	0	0	64	6	0x0000a2b2	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	1	0	0	0	32120	0x0000d346	0	0101080a00160a3400054b64	fffc25					
8	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	52	0x00006132	0	0	0	0	64	6	0x0000982e	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	0	0	0	0	17376	0x000031e4	0	0101080a00054b6400160a34						
9	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	77	0x000034f3	0	0	0	0	64	6	0x0000c454	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	1	0	0	0	17376	0x0000d674	0	0101080a00054b6400160a34	fffb03fffd18fffd1ffffd20fffd21fffd22fffa22010bfff0					
10	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	116	0x000016ac	0	1	0	0	64	6	0x0000a274	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	1	0	0	0	32120	0x0000fea2	0	0101080a00160a3500054b64	fffa1f00500020fff0fffa220301000003620304020f05000007621c08020409421a0a027f0b02150f0211100213110000120000fff0fffd03fffa22010ffff0					
