frame.number	eth.dst	eth.src	eth.type	ip.version	ip.hdr_len	ip.dsfield.dscp	ip.dsfield.ecn	ip.len	ip.id	ip.flags.rb	ip.flags.df	ip.flags.mf	ip.frag_offset	ip.ttl	ip.proto	ip.checksum	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.hdr_len	tcp.flags.res	tcp.flags.ns	tcp.flags.cwr	tcp.flags.ecn	tcp.flags.urg	tcp.flags.ack	tcp.flags.push	tcp.flags.reset	tcp.flags.syn	tcp.flags.fin	tcp.window_size_value	tcp.checksum	tcp.urgent_pointer	tcp.options	tcp.payload	udp.srcport	udp.dstport	udp.length	udp.checksum	eth.padding
1	00:60:08:9f:b1:f3	00:40:05:40:ef:24	0x00008100	4	20	0	0	1500	0x00003b32	0	1	0	0	64	6	0x0000b225	131.151.32.129	131.151.32.21	1162	6000	32	0	0	0	0	0	1	1	0	0	0	28920	0x000010b8	0	0101080a0004f0c70199a3c5	36000200be00c00036000200bc00c0000c0005005000c0000c0000000b000000fc0000000c0005005000c00003000000020000000e0000003d0004003800c0000000f2ff000000000c0005005000c00003000800020000000e0000003d0004003800c0000000f2ff000000000c0007004300c0000f000000000000000000000038000000160000000c0004003a00c0004000210000000000080002003a00c0000c0007003a00c0000f000700350000000000000006000000160000000c0007004400c0000f00070038000000000000003f000000160000000c0004003b00c0004000070000000000080002003b00c0000c0007003b00c0000f001f00740000000000000006000000160000000c0007004500c0000f00200077000000000000009a000000160000000c0004003c00c0004000080000000000080002003c00c0000c0007003c00c0000f0004000e0100000000000006000000160000000c0007004600c0000f00000011010000000000009a000000160000000c0004003d00c0004000040000000000080002003d00c0000c0007003d00c0000f000000a80100000000000006000000160000000c0007004700c0000f002100ab010000000000003b000000160000000c0004003e00c0004000c00000000000080002003e00c0000c6f07003e00c0000f00c000e30100000000000006000000160000000c0007004800c0000f00c000e601000000000000ac010000160000000c6f04003f00c0004000c00000000000080002003f00c0000c0007003f00c0000f00c0008f0300000000000006000000160000000c0005005000c0000300c000020000000e0000000c0005004c00c0000c0008002d0200000b0000000c0005004c00c000030000000e000000020000003d0004003800c0000000f2ff000000000c0007004300c0000f001000000000000000000038000000160000000c0004003a00c0004000c00000000000080002003a00c0000c0007003a00c0000f000000350000000000000006000000160000000c0007004400c0000f004f4b380000000000000054000000160000000c0004003b00c0004000080000000000080002003b00c0000c0007003b00c0000f000400890000000000000006000000160000000c0107004500c0000f0000008c000000000000009a000000160000000c0004003c00c0004000000000000000080002003c00c0000c0107003c00c0000f000600230100000000000006000000160000000c0007004600c0000f00c00026010000000000009a000000160000000c0004003d00c0004000000000000000080002003d00c0000c0007003d00c0000f002100bd0100000000000006000000160000000c0007004700c0000f00c000c0010000000000003b000000160000000c0004003e00c0004000c00000000000080002003e00c0000c0007003e00c0000f000700f80100000000000006000000160000000c0007004800c0000f000700fb01000000000000ac010000160000000c0004003f00c0004000040000000000080002003f00c0000c0007003f00c0000f000800a40300000000000006000000160000000c0005005000c0000300c000020000000e0000000c0005004c00c0000c000000210200000b0000000c0005004c00c000030000000e000000020000003d0004003800c0000000f2ff000000000c0007004300c0000f00c000000000000000000038000000160000000c0104003a00c0004000150000000000080002003a00c0000c0007003a00c0000f000400350000000000000006000000160000000c0007004400c0000f000000380000000000000054000000160000000c0004003b00c0004000020000000000080002003b00c0000c0007003b00c0000f000200890000000000000006000000160000000c0007004500c0000f00c0008c000000000000009a000000160000000c0004003c00c0004000020000000000080002003c00c0000c0007003c00c0000f00020023010000					
2	00:60:08:9f:b1:f3	00:40:05:40:ef:24	0x00008100	4	20	0	0	632	0x00003b33	0	1	0	0	64	6	0x0000b588	131.151.32.129	131.151.32.21	1162	6000	32	0	0	0	0	0	1	1	0	0	0	28920	0x000091ed	0	0101080a0004f0c70199a3c5	0000000006000000160000000c0007004600c0000f00c00026010000000000009a000000160000000c0004003d00c0004000020000000000082002003d00c0000c6907003d00c0000f000200bd0100000000000006000000160000000c0107004700c0000f00c000c0010000000000003b000000160000000c0004003e00c0004000020000000000087d02003e00c0000c0107003e00c0000f000200f80100000000000006000000160000000c0007004800c0000f00c000fb01000000000000ac010000160000000cff04003f00c0004000020000000000080002003f00c0000c0007003f00c0000f000200a40300000000000006000000160000000c0005005000c00003000500020000000e0000003d0004003800c0000000f2ff000000000c0007004300c0000f000200000000000000000038000000160000000c0004003a00c0004000c00000000000080002003a00c0000c0007003a00c0000f00c000350000000000000006000000160000000c0007004400c0000f000200380000000000000054000000160000000c0004003b00c0004000c00000000000080002003b00c0000c0007003b00c0000f00c000890000000000000006000000160000000c0007004500c0000f0002008c000000000000009a000000160000000c0004003c00c0004000c00000000000080002003c00c0000c0007003c00c0000f00c000230100000000000006000000160000000c0007004600c0000f00020026010000000000009a000000160000000c0004003d00c0004000c00000000000080002003d00c000					
3	ff:ff:ff:ff:ff:ff	08:00:07:84:12:de	0x00008100																																						0000
4	00:60:08:9f:b1:f3	00:40:05:40:ef:24	0x00008100	4	20	0	0	1500	0x00003b34	0	1	0	0	64	6	0x0000b223	131.151.32.129	131.151.32.21	1162	6000	32	0	0	0	0	0	1	1	0	0	0	28920	0x000003a3	0	0101080a0004f0c80199a3c5	0c0007003d00c0000f000200bd0100000000000006000000160000000c0007004700c0000f000500c0010000000000003b000000160000000c0004003e00c0004000f2ff00000000080002003e00c0000c0007003e00c0000f000000f80100000000000006000000160000000c0007004800c0000f000000fb01000000000000ac010000160000000c0004003f00c0004000210000000000080002003f00c0000c0007003f00c0000f000700a40300000000000006000000160000000c0005005000c00003000700020000000e0000003d0004003800c0000000f2ff000000000c0007004300c0000f000200000000000000000038000000160000000c0004003a00c0004000000000000000080002003a00c0000c0007003a00c0000f000000350000000000000006000000160000000c0007004400c0000f000200380000000000000054000000160000000c0104003b00c0004000000000000000080002003b00c0000c0007003b00c0000f000000890000000000000006000000160000000c0007004500c0000f0002008c000000000000009a000000160000000c0104003c00c0004000000000000000080002003c00c0000c0007003c00c0000f000000230100000000000006000000160000000c0007004600c0000f00020026010000000000009a000000160000000c0104003d00c0004000000000000000080002003d00c0000c0007003d00c0000f000000bd0100000000000006000000160000000c0007004700c0000f000200c0010000000000004d000000160000000c0304003e00c0004000000000000000080002003e00c0000c0007003e00c0000f0000000a0200000000000006000000160000000c0007004800c0000f00c0000d02000000000000ac010000160000000c0004003f00c0004000000000000000080002003f00c0000c0007003f00c0000f000000b60300000000000006000000160000000c0005005000c0000300c000020000000e0000000c0005004c00c0000c000000160200000b0000000c0005004c00c00003004f4b0e000000020000003d0004003800c0000000f2ff000000000c0007004300c0000f000200000000000000000038000000160000000c0004003a00c0004000000000000000080102003a00c0000c0007003a00c0000f000000350000000000000006000000160000000c0007004400c0000f000200380000000000000054000000160000000c0104003b00c0004000000000000000080002003b00c0000c0007003b00c0000f000000890000000000000006000000160000000c0007004500c0000f0002008c000000000000009a000000160000000c0104003c00c0004000000000000000080002003c00c0000c0007003c00c0000f000000230100000000000006000000160000000c0007004600c0000f00020026010000000000009a000000160000000c0104003d00c0004000000000000000080002003d00c0000c0007003d00c0000f000000bd0100000000000006000000160000000c0007004700c0000f000200c0010000000000004d000000160000000c0304003e00c0004000000000000000080002003e00c0000c0007003e00c0000f0000000a0200000000000006000000160000000c0007004800c0000f00c0000d02000000000000c9000000160000000a0002003f00c0000c0005005000c0000300c000020000000e0000000c0005004c00c0000c000000be0200000b0000000c0005004c00c000030002000e000000020000003d0004003800c0000000f2ff000000000c0007004300c0000f000700000000000000000038000000160000000c0004003a00c0004000040000000000080002003a00c0000c0007003a00c0000f000700350000000000000006000000160000000c0007004400c0000f000700380000000000000054000000160000000c0004003b00c0004000040000000000080002003b00c0000c0007003b00c0000f000700890000000000000006000000					
5	00:60:08:9f:b1:f3	00:40:05:40:ef:24	0x00008100	4	20	0	0	332	0x00003b35	0	1	0	0	64	6	0x0000b6b2	131.151.32.129	131.151.32.21	1162	6000	32	0	0	0	0	0	1	1	0	0	0	28920	0x000085b6	0	0101080a0004f0c80199a3c5	160000000c0007004500c0000f0007008c000000000000009a000000160000000c0004003c00c0004000040000000000080002003c00c0000c2007003c00c0000f000700230100000000000006000000160000000c0007004600c0000f00070026010000000000009a000000160000000c0004003d00c0004000040000000000080002003d00c0000c7d07003d00c0000f000700bd0100000000000006000000160000000c0007004700c0000f000700c0010000000000004d000000160000000c0104003e00c0004000040000000000080002003e00c0000c0007003e00c0000f0007000a0200000000000006000000160000000c0007004800c0000f0005000d02000000000000c9000000160000000a0002003f00c000					
6	00:40:05:40:ef:24	00:60:08:9f:b1:f3	0x00008100	4	20	0	0	52	0x00008a1b	0	1	0	0	64	6	0x000068e4	131.151.32.21	131.151.32.129	6000	1162	32	0	0	0	0	0	1	0	0	0	0	31856	0x000031ed	0	0101080a0199a3f30004f0c7						
7	00:40:05:40:ef:24	00:60:08:9f:b1:f3	0x00008100	4	20	0	0	1500	0x00008a1c	0	1	0	0	64	6	0x0000633b	131.151.32.21	131.151.32.129	6000	1162	32	0	0	0	0	0	1	1	0	0	0	31576	0x00007980	0	0101080a0199a3f30004f0c8	1628ce835000c0005000c0000000000002000e000b00fc000000000098284e080cf9ce835000c000000000000b00fc0000003308c8a533080000000050f9ffbf1628d3834300c0004300c0000000000000000000380016000000000098284e080c00d3834300c000000000002000160000004308bad600000000000050f9ffbf1628d4833a00c0003a00c0003f00c0001d000000060016000000000098284e081628d6833a00c0003a00c0003f00c00035000000060016000000000098284e081628d7834400c0004400c0004300c000380000003f0016000000000098284e080c00d7834300c000200000001800160000004308bad6000000000000bcf9ffbf1628d8833b00c0003b00c0003a00c0005c000000060016000000000098284e081628da833b00c0003b00c0003a00c00074000000060016000000000098284e081628db834500c0004500c0004400c000770000009a0016000000000098284e080c00db834400c000270000001800160000004308bad6000000000000bcf9ffbf1628dc833c00c0003c00c0003b00c000f6000000060016000000000098284e081628de833c00c0003c00c0003b00c0000e010000060016000000000098284e081628df834600c0004600c0004500c000110100009a0016000000000098284e080c00df834500c000820000001800160000004308bad6000000000000bcf9ffbf1628e0833d00c0003d00c0003c00c00090010000060016000000000098284e081628e2833d00c0003d00c0003c00c000a8010000060016000000000098284e081628e3834700c0004700c0004600c000ab0100003b0016000000000098284e080c00e3834600c000820000001800160000004308bad6000000000000bcf9ffbf1628e4833e00c0003e00c0003d00c000cb010000060016000000000098284e081628e6833e00c0003e00c0003d00c000e3010000060016000000000098284e081628e7834800c0004800c0004700c000e6010000ac0116000000000098284e080c00e7834700c000230000001800160000004308bad6000000000000bcf9ffbf1628e8833f00c0003f00c0003e00c00077030000060016000000000098284e081628ea833f00c0003f00c0003e00c0008f030000060016000000000098284e081628ec834c00c0004c00c000000000000e0002002d020b000000000098284e080cf9ec834900c0003b0202000f000b0000004308589143080000000050f9ffbf0cf9ec834c00c000000000002d020b0000003308c8a533080000000050f9ffbf1628f0833a00c0003a00c0003f00c00035000000060016000000000098284e081628f3834400c0004400c0004300c00038000000540016000000000098284e080c00f3834400c000000000003f00160000004308bad600000000000050f9ffbf1628f4833b00c0003b00c0003a00c00074000000060016000000000098284e081628f6833b00c0003b00c0003a00c00089000000060016000000000098284e081628f7834500c0004500c0004400c0008c0000009a0016000000000098284e080c00f7834400c0003f0000001500160000004308bad6000000000000bcf9ffbf1628f8833c00c0003c00c0003b00c0000e010000060016000000000098284e081628fa833c00c0003c00c0003b00c00023010000060016000000000098284e081628fb834600c0004600c0004500c000260100009a0016000000000098284e080c00fb834500c000850000001500160000004308bad6000000000000bcf9ffbf1628fc833d00c0003d00c0003c00c000a8010000060016000000000098284e081628fe833d00c0003d00c0003c00c000bd010000060016000000000098284e081628ff834700c0004700c0004600c000c00100003b0016000000000098284e080c00ff834600c000850000001500160000004308bad6000000000000bcf9ffbf162800843e00c0003e00c0003d00c000e3010000060016000000000098284e08162802843e00c000					
8	00:40:05:40:ef:24	00:60:08:9f:b1:f3	0x00008100	4	20	0	0	620	0x00008a1d	0	1	0	0	64	6	0x000066aa	131.151.32.21	131.151.32.129	6000	1162	32	0	0	0	0	0	1	1	0	0	0	31576	0x00008a8a	0	0101080a0199a3f30004f0c8	3e00c0003d00c000f8010000060016000000000098284e08162803844800c0004800c0004700c000fb010000ac0116000000000098284e080c0003844700c000260000001500160000004308bad6000000000000bcf9ffbf162804843f00c0003f00c0003e00c0008f030000060016000000000098284e08162806843f00c0003f00c0003e00c000a4030000060016000000000098284e08162808844c00c0004c00c000000000000e00020021020b000000000098284e080cf908844900c0002f0202000c000b0000004308589143080000000050f9ffbf0cf908844c00c0000000000021020b0000003308c8a533080000000050f9ffbf16280c843a00c0003a00c0003f00c00035000000060016000000000098284e08162810843b00c0003b00c0003a00c00089000000060016000000000098284e08162814843c00c0003c00c0003b00c00023010000060016000000000098284e08162818843d00c0003d00c0003c00c000bd010000060016000000000098284e0816281c843e00c0003e00c0003d00c000f8010000060016000000000098284e08162820843f00c0003f00c0003e00c000a4030000060016000000000098284e08162826843a00c0003a00c0003f00c00035000000060016000000000098284e0816282a843b00c0003b00c0003a00c00089000000060016000000000098284e0816282e843c00c0003c00c0003b00c00023010000060016000000000098284e08162832843d00c0003d00c0003c00c000bd010000060016000000000098284e08					
9	00:60:08:9f:b1:f3	00:40:05:40:ef:24	0x00008100	4	20	0	0	52	0x00003b36	0	1	0	0	64	6	0x0000b7c9	131.151.32.129	131.151.32.21	1162	6000	32	0	0	0	0	0	1	0	0	0	0	27472	0x00003c4c	0	0101080a0004f0c80199a3f3						
10	00:60:08:9f:b1:f3	00:40:05:40:ef:24	0x00008100	4	20	0	0	52	0x00003b37	0	1	0	0	64	6	0x0000b7c8	131.151.32.129	131.151.32.21	1162	6000	32	0	0	0	0	0	1	0	0	0	0	26904	0x00003c4c	0	0101080a0004f0c80199a3f3						
